一[一]	 	說文: 惟初太始道立於一造分天地化成萬物凡一之屬皆從一Etym: Primitive pictograph 一. From a single line. Meaning one.
悉[悉]	 	說文: 詳盡也從心從釆Etym: From sorting out 釆 not 采 and heart 心. Meaning to knowPhon: 悉 xi1  (productive phonetic)
悌[悌]	 	說文: 善兄弟也從心弟聲經典通用弟Phon: 弟 di4 ti4 
悍[悍]	 	說文: 勇也從心旱聲Etym: From heart 忄心 and phonetic 旱. Meaning brave.Phon: 旱 han4 干 gan1 han4 an4 jian1 
悔[悔]	 	說文: 悔恨也從心每聲Etym: From heart 忄心 and phonetic 每. Meaning to repent.Phon: 每 mei3 wu3 母 mu3 
悖[悖]	 	說文: 誖或從心Phon: 孛 bo2 bei4 巿 fei4 fu2 po2 
悟[悟]	 	說文: 覺也從心吾聲Etym: From heart 忄心 and phonetic 吾. Meaning to realize.Phon: 吾 wu2 五 wu3 
悠[悠]	 	說文: 憂也從心攸聲Etym: From heart 心 and phonetic 攸. Meaning to long for.Phon: 攸 you1 
患[患]	 	說文: 憂也從心上貫吅吅亦聲Etym: From heart 心 and phonetic 串. Meaning to suffer.Phon: 串 chuan4 
悦[悅]	 	Etym: From heart 忄心 and phonetic 兑兌. Meaning pleased.Phon: 兌 dui4 sui4 rui4 duo2 
您[您]	 	Etym: From heart 心 and phonetic (also meaning you) 你. An honorific for you.Phon: 你 ni3 
悬[懸]	 	Etym: Deletion remnant 悬(t懸). From heart 心 and remnant phonetic 县縣. Meaning to hang.Phon: 縣 xian4 xuan2 Simplify: (deletion 县(縣-系))
悯[憫]	 	Etym: From heart 忄心 and phonetic (also meaning to pity) 闵閔. Meaning to pity.Phon: 閔 min3 文 wen2 wen3 (or 門 men2) Simplify: (忄) left of (s门門)cup(文)
悲[悲]	 	說文: 痛也從心非聲Etym: From heart 心 and phonetic (also meaning broken) 非 and . Meaning sorrow.Phon: 非 fei1 fei3 
悴[悴]	 	說文: 憂也從心卒聲讀與易萃卦同Etym: From heart 忄心 and phonetic 卒. Meaning to suffer.Phon: 卒 zu2 cui4 
悸[悸]	 	說文: 心動也從心季聲Phon: 季 ji4 
悼[悼]	 	說文: 懼也陳楚謂懼曰悼從心卓聲臣鉉等曰卓非聲當從罩省Etym: From heart 忄心 and phonetic 卓. Meaning to mourn.Phon: 卓 zhuo2 
情[情]	 	說文: 人之陰气有欲者從心青聲Etym: From heart 忄心 and phonetic 青. Meaning feeling.Phon: 青靑 qing1 井 jing3 
惆[惆]	 	說文: 失意也從心周聲Phon: 周 zhou1 
惋[惋]	 	Etym: From heart 忄心 and phonetic 宛. Meaning to regret.Phon: 宛 wan3 夗 yuan4 wan3 wan1 yuan1 
惑[惑]	 	說文: 亂也從心或聲Etym: From heart 心 and phonetic 或. Meaning confuse.Phon: 或 huo4 yu4 
惕[惕]	 	說文: 敬也從心易聲Etym: From heart 忄心 and phonetic 易. Meaning cautious.Phon: 易 yi4 ci4 
惜[惜]	 	說文: 痛也從心昔聲Etym: From heart 忄心 and phonetic 昔. Meaning pitty.Phon: 昔 xi2 cuo4 
惟[惟]	 	說文: 凡思也從心佳聲Phon: 隹 zhui1 cui1 wei2 
惠[惠]	 	說文: 仁也從心從叀徐锴曰為惠者心專也Etym: From heart 心 and phonetic 叀. Meaning favor.Phon: 惠 hui4  (productive phonetic)
惦[惦]	 	Etym: From heart 忄心 and phonetic 店. Meaning to think of.Phon: 店 dian4 占 zhan1 zhan4 tie1 
惧[懼]	 	說文: 恐也從心瞿聲Etym: From heart 忄心 and phonetic 具瞿. Meaning afraid.Phon: 瞿 ju4 qu2 Simplify: (忄) left of (phonetic-phonetic substitution 具瞿)
惨[慘]	 	說文: 毒也從心參聲Etym: From heart 忄心 and phonetic 参參. Meaning pitiful.Phon: 參参叄 can1 cen1 san1 shen1 㐱 zhen3 Simplify: (忄) left of (s参參)
惩[懲]	 	說文: **也從心徵聲Etym: **From heart 心 and phonetic 征徵. Meaning to be allert.Phon: 徵 zheng1 zhi3 cheng2 (壬 D844 DE3C) ting2 zheng1 Simplify: (cognate-phonetic substitution 征徵)
惫[憊]	 	說文: **也從心**聲Etym: Super cursive remnant 惫憊. From heart 心 and phonetic 备備. Meaning tired.Phon: 備 bei4 Simplify: (心) above (B006备備)
惭[慚]	 	Etym: From heart 忄心 and phonetic 斩斬 . Meaning ashamed.Phon: 斬 zhan3 zhan4 Simplify: (忄) left of (s车車) left of (斤)
惮[憚]	 	說文: 忌難也從心單聲一曰難也Phon: 單 chan2 shan4 dan1 Simplify: (忄) left of (s单單)
惯[慣]	 	Etym: From heart 忄心 and phonetic 贯貫. Meaning habit.Phon: 貫 guan4 毌 guan4 Simplify: (忄) left of (毌) above (B008贝貝)
惰[惰]	 	說文: 憜或省**Phon: (隋-阝) sui2 duo4 左 zuo3 
想[想]	 	說文: 冀思也從心相聲Etym: From heart 心 and phonetic 相. Meaning to think.Phon: 相 xiang1 xiang4 
惴[惴]	 	說文: 憂懼也從心耑聲詩曰惴惴其憟Phon: 耑 duan1 zhuan1 
惶[惶]	 	說文: 恐也從心皇聲Etym: From heart 忄心 and phonetic 皇. Meaning fearful.Phon: 皇 huang2 王 wang2 wang4 wang3 
惹[惹]	 	說文: 亂也從心若聲Etym: From heart 心 and phonetic 若. Meaning to irritate.Phon: 若 ruo4 re4 re2 
愁[愁]	 	說文: 憂也從心秋聲Etym: From heart 心 and phonetic 秋. Meaning anxiety.Phon: 秋 qiu1 
愈[愈]	 	Etym: From heart 心 and phonetic 俞. Originally meaning to recover from an illness.Phon: 愈 yu4 俞兪 yu2 yu4 shu1 shu4  (productive phonetic)
愉[愉]	 	說文: 薄也從心俞聲論語曰私覿愉愉如也Etym: From heart 忄心 and phonetic 俞. Meaning pleasant.Phon: 俞兪 yu2 yu4 shu1 shu4 
意[意]	 	說文: 志也從心察言而知意也從心從音Etym: From heart 心 as sounds 音. Meaning thought.Phon: 意 yi4  (productive phonetic)
愕[愕]	 	Etym: From heart 忄心 and phonetic 咢. Meaning startled.Phon: 噩咢 e4 
愚[愚]	 	說文: 戇也從心從禺禺猴屬獸之愚者Etym: From heart 心 and phonetic 禺. Meaning stupid.Phon: 禺 yu4 yu2 ou3 
感[感]	 	說文: 動人心也從心咸聲Etym: From heart 心 and phonetic 咸. Meaning feel.Phon: 感 gan3 咸 xian2 jian3 jian1  (productive phonetic)
愠[慍]	 	說文: 怒也從心昷聲Phon: 昷(囚+皿)  wen1 yun4 
愧[愧]	 	說文: 媿或從恥省Etym: From heart 忄心 and phonetic 鬼. Meaning ashamed.Phon: 鬼 gui3 
愿[愿]	 	說文: 謹也從心原聲Phon: 原厡 yuan2 
慈[慈]	 	說文: 愛也從心茲聲Etym: From heart 心 and phonetic 兹. Meaning kind.Phon: 茲 zi1 ci2 糸 mi4 si1 
慌[慌]	 	Etym: From heart 忄心 and phonetic 荒. Meaning nervous.Phon: 荒 huang1 巟 huang1 亡兦 wang2 wang4 meng2 
慎[慎]	 	說文: 謹也從心真聲Etym: From heart 忄心 and phonetic (also means truth) 真. Meaning to be cautious.Phon: 眞真 zhen1 tian2 
慑[懾]	 	說文: 失气也從心聶聲一曰服也Phon: 聶 nie4 zhe2 she4 Simplify: (忄) left of (s聂聶)
慕[慕]	 	說文: 習也從心莫聲Etym: From heart 心 and phonetic 莫. Meaning to long for.Phon: 莫 mo4 mu4 
慢[慢]	 	說文: 惰也從心曼聲一曰慢不畏也Etym: From heart 忄心 and phonetic 曼. Meaning slowly.Phon: 曼 man4 
慧[慧]	 	說文: 儇也從心彗聲Etym: From heart 心 and phonetic 彗. Meaning intelegent.Phon: 彗 hui4 
慨[慨]	 	說文: 忼慨壯士不得志也從心既聲Etym: From heart 忄心 and phonetic 既. Meaning generous.Phon: 既旣 ji4 旡 ji4 
慰[慰]	 	說文: 安也從心尉聲一曰恚怒也Etym: From heart 心 and phonetic (also original character for comfort) 尉. Meaning comfort.Phon: 尉 wei4 yu4 yun4 reng2 
慷[慷]	 	Etym: From heart 忄心 and phonetic 康. Meaning generous.Phon: 康 kang1 庚 geng1 
憋[憋]	 	Etym: From heart 心 and phonetic 敝. Meaning to suppress inner feelings
憎[憎]	 	說文: 惡也從心曾聲Etym: From heart 忄心 and phonetic 曾. Meaning hate.Phon: 曾 zeng1 ceng2 
憔[憔]	 	Etym: From heart 忄心 and phonetic 焦. Meaning worn-out.Phon: 焦 jiao1 qiao2 
憧[憧]	 	說文: 意不定也從心童聲Phon: 童 tong2 zhong1 重 chong2 zhong4 tong2 dong4 
憨[憨]	 	Etym: From heart 心 and phonetic 敢. Meaning folish.
憬[憬]	 	說文: 覺寤也從心景聲詩曰憬彼淮夷Phon: 景 jing3 ying3 京 jing1 
憾[憾]	 	Etym: From heart 忄心 and phonetic 感. Meaning regret.Phon: 感 gan3 咸 xian2 jian3 jian1 
懂[懂]	 	Etym: From heart 忄心 and phonetic 董. Meaning to understand.Phon: 董 dong3 重 chong2 zhong4 tong2 dong4 
懈[懈]	 	說文: 怠也從心解聲Etym: From heart 忄心 and phonetic 解. Meaning relaxed.Phon: 解 xie4 jie4 jie3 
懊[懊]	 	Etym: From heart 忄心 and phonetic 奥. Meaning depressed.Phon: 奧 ao4 
懑[懣]	 	說文: 煩也從心從滿Phon: 滿 man3 䓣㒼 man2 Simplify: (氵) left of (s两兩) above (心)
懒[懶]	 	Etym: From heart 忄心 and phonetic 赖賴. Meaning lazy.Phon: 賴頼 lai4 剌 la4 la3 Simplify: (忄) left of (B008贝貝)(负) left of
懦[懦]	 	說文: 駑弱者也從心需聲Etym: From heart 忄心 and phonetic 需. Meaning timid.Phon: 需 xu1 nuo4 ru2 ruan3 雨 yu4 yu3 
懿[懿]	 	說文: 專久而美也從壹從恣省聲Phon: 壹 yi1 
戈[戈]	 	說文: 平頭**也從弋一橫之象形凡戈之屬皆從戈Etym: Primitive pictograph 戈. A long handled instrument. In context it could be anything from a rake to a halbard.Phon: 戈 ge1  (productive phonetic)
戊[戊]	 	說文: 中宮也象六甲五龍相拘絞也戊承丁象人脅凡戊之屬皆從戊Etym: Primitive pictograph 戊. A halbard. Meaning 5th hevenly stem.Phon: 戊 wu4  (productive phonetic)
戋[戔]	 	說文: 賊也從二戈周書曰戔戔巧言徐锴曰兵多則殘也故從二戈Etym: From two weapons 戈, 戋戔. Meaning small.Phon: 戔 can2 jian1  (productive phonetic)Simplify: (super cursive simplification 戋戔)
戌[戌]	 	說文: 滅也九月陽气微萬物畢成陽下入地也五行土生於戊盛於戊從戊含一凡戌之屬皆從戌Phon: 戌 xu1  (productive phonetic)
戍[戍]	 	說文: 守邊也從人持戈Etym: Primitive pictograph 戍. A weapon 戈 and person 人. Meaning to defend.
戎[戎]	 	說文: 兵也從戈從甲Etym: Primitive pictograph 戎. A weapon 戈  and armor 甲. Meaning arms.Phon: 戎 rong2  (productive phonetic)
戏[戲]	 	說文: 三軍之偏也一曰兵也從戈**聲Etym: Super cursive remnant 戏戲. From weapon 戈 and phonetic 又䖒[From drum 豆 and phonetic 虍]. Meaning theatrical play.Phon: (虍豆 D85C DDB2) xi2 Simplify: (super cursive simplification 又戲) left of (戈)
成[成]	 	說文: 就也從戊丁聲Etym: Primitive pictograph 成*. From 5th celestial stem (a weapon) 戊 and phonetic (also meaning nail) 丁. Meaning complete.Phon: 成 cheng2 丁 ding1  (productive phonetic)
我[我]	 	說文: 施身自謂也或說我頃頓也從戈從****或說古垂字一曰古殺字凡我之屬皆從我Etym: Primitive pictograph 我. A rake. Borrowed for sound. Meaning I.Phon: 我 wo3  (productive phonetic)
戒[戒]	 	說文: 警也從廾持戈以戒不虞Etym: From weapon 戈 carried in two hands 廾. Meaning to warn.Phon: 戒 jie4  (productive phonetic)
戕[戕]	 	說文: 搶也他國臣來弒君曰戕從戈爿聲Phon: 戕 qiang2 爿 qiang2  (productive phonetic)
或[或]	 	說文: 邦也從口從戈以守一一地也Etym: *Compound pictograph 或. From a city wall 口 （with all the things around it) and 一 which is to be protected with a 戈. Original many country.Phon: 或 huo4 yu4  (productive phonetic)
战[戰]	 	說文: **也從戈單聲Etym: From phonetic 占单 and weapons 戈. Meaning war.Phon: 單 chan2 shan4 dan1 Simplify: (phonetic-phonetic substitution 占單) left of (戈)
戚[戚]	 	說文: 戉也從戉尗聲Etym: From scythe 戊 and beans 尗.  Meaning to cut beans.Phon: 戚 qi1 cu4 尗 shu2  (productive phonetic)
戛[戛]	 	說文: **也從戈從**讀若棘Phon: 戛 jia2  (productive phonetic)
戟[戟]	 	說文: 有枝兵也從戈倝周禮**長丈六尺讀若棘
戡[戡]	 	說文: 刺也從戈甚聲Phon: 甚 shen4 she2 
戢[戢]	 	說文: 藏兵也從戈咠聲詩曰載戢干戈Phon: 咠 qi4 
截[截]	 	說文: 斷也從戈雀聲Etym: From halbard 戈 and phonetic 雀. Meaning to cut off.Phon: 雀 que4 
戮[戮]	 	說文: 殺也從戈翏聲Phon: 翏 liu4 lu4 
戳[戳]	 	Etym: From weapon 戈 and phonetic 翟. Meaning to stab.Phon: 翟 di2 zhai2 
戴[戴]	 	說文: 分物得增益曰戴從異聲Etym: From mask 異 phonetic 𢦔. Meaning to wear.Phon: (哉-口 D84A DD8F) zai1 才 cai2 
户[戶]	 	說文: 護也半門曰戶象形凡戶之屬皆從戶Etym: Primitive pictograph 户. A door. Meaning door.Phon: 戶 hu4  (productive phonetic)
戾[戾]	 	說文: 曲也從犬出戶下戾者身曲戾也Phon: 戾 li4  (productive phonetic)
房[房]	 	說文: 室在旁也從戶方聲Etym: From door 户 and phonetic 方 (also indicates square). Meaning roomPhon: 方 fang1 fang3 pang2 
所[所]	 	說文: 伐木聲也從斤戶聲詩曰伐木所所Etym: From door 户 and an ax to make a door 斤. Meaning place.Phon: 戶 hu4 
扁[扁]	 	說文: 署也從戶冊戶冊者署門戶之文也Etym: From door 户 and bamboo strip book 册冊. Meaning tablet, or collection of pages.Phon: 扁 bian3  (productive phonetic)
扇[扇]	 	說文: 扉也從戶從翄省Etym: From door which hangs 户 and wings which flap 羽. Meaning fan.Phon: 扇 shan4  (productive phonetic)
扈[扈]	 	說文: 夏后同姓所封戰於甘者在鄠有扈谷甘亭從邑戶聲Phon: 扈 hu4 戶 hu4  (productive phonetic)
扉[扉]	 	說文: 門扇也從戶非聲Phon: 非 fei1 fei3 
手[手]	 	說文: 拳也象形凡手之屬皆從手Etym: Primitive pictograph 手. A hand. Meaning hand.
才[才]	 	說文: 艸木之初也從｜上貫一將生枝葉一地也凡才之屬皆從才徐锴曰上一初生岐枝也下一地也Phon: 才 cai2  (productive phonetic)
扒[扒]	 	Etym: From hand 扌手 and phonetic 八. Meaning to scratch.Phon: 八 ba1 
打[打]	 	說文: 擊也從手丁聲Etym: From hand 扌手 and phonetic 丁. Meaning to strike.Phon: 丁 ding1 
扔[扔]	 	說文: 因也從手乃聲Etym: From hand 扌手 and phonetic 乃. Meaning to throw.Phon: 乃 nai3 reng2 
托[托]	 	說文: 曳也從手它聲Etym: From hand 扌手 and phonetic 乇. Meaning to hold up.Phon: 乇 zhe2 tuo1 
扛[扛]	 	說文: 橫關對舉也從手工聲Etym: From hand 扌手 and phonetic 工. Meaning to carry on sholders.Phon: 工 gong1 
扣[扣]	 	說文: 牽馬也從手口聲Etym: From hand 扌手 and phonetic 口. Meaning to knock.Phon: 口 kou3 
执[執]	 	說文: 捕罪人也從丮從****亦聲Etym: From criminal (or hand cuffs) 扌幸㚔 and kneeling man 丸. Meaning arrest.Phon: 執 zhi2  (productive phonetic)Simplify: (super cursive simplification 扌幸)
扩[擴]	 	Etym: From hand 扌手 and phonetic (large expanse) 广廣. Meaning to expand.Phon: 廣 guang3 guang4 kuang4 黃 huang2 huang1 Simplify: (扌) left of (s广廣)
扪[捫]	 	說文: 撫持也從手門聲詩曰莫捫朕舌Phon: 門 men2 Simplify: (扌) left of (s门門)
扫[掃]	 	Etym: From hand 扌手 and broom 彐帚. Meaning sweepPhon: 掃 sao4 sao3 帚 zhou Simplify: (deletion 扫(掃-*))
扬[揚]	 	說文: 飛舉也從手昜聲Etym: From hand 扌手 and phonetic *昜. Meaning to scatter.Phon: 昜 yang2 Simplify: (扌) left of (C04𠃓昜)
扭[扭]	 	Etym: From hand 扌手 and phonetic (also a hand) 丑. Meaning to twist.Phon: 丑 chou3 
扮[扮]	 	說文: 握也從從手分聲讀若粉Etym: From hand 扌手 and phonetic 分. Meaning to dress up.Phon: 分 fen1 fen4 ban4 
扯[扯]	 	Etym: From hand 扌手 and phonetic (also meaning to go) 止. Meaning to haul.Phon: 止 zhi3 
扳[扳]	 	Etym: From hand 扌手 and phonetic 反. Meaning to pull.Phon: 反 fan3 
扶[扶]	 	說文: 左也從手夫聲Etym: From hand 扌手 and phonetic 夫. Meaning to support.Phon: 夫 fu1 fu2 
批[批]	 	Etym: From hand 扌手 and phonetic 比. Meaning to criticize.Phon: 比 bi3 bi4 
扼[扼]	 	說文: 把也從手鬲聲Etym: From hand 扌手 and phonetic 厄. Meaning to grasp.Phon: 厄 e4 
找[找]	 	Etym: From hand 扌手 and long handled instrument (blind mans cain) 戈. Meaning to look for.
承[承]	 	說文: 奉也受也從手從卪從廾臣鉉等曰謹節其事承奉之義也故從卪Etym: Murged elements 承. From a man 卩 (top) being lifted up by two hands 𠬞 and also by a third hand 手 (middle). Meaning to receive.
技[技]	 	說文: 巧也從手支聲Etym: From hand 扌手 and phonetic (also meaning branch)支. Meaning skill.Phon: 支 zhi1 zhi4 qi2 
抄[抄]	 	Etym: From hand 扌手 and phonetic 少. Meaning to copy.Phon: 少 shao3 shao4 小 xiao3 
抉[抉]	 	說文: 挑也從手夬聲Phon: 夬 guai4 jue2 que1 
把[把]	 	說文: 握也從手巴聲Etym: From hand 扌手 and phonetic 巴. Meaning hold.Phon: 巴 ba1 
抑[抑]	 	說文: 俗從手Etym: From hand 扌手 and to look up to 卬. Meaning to repress.Phon: *(印 mirror D842 DE14)
抒[抒]	 	說文: 挹也從手予聲Etym: From hand 扌手 and phonetic (also meaning to hand over) 予. Meaning to releave.Phon: 予 yu2 yu3 zhu4 
抓[抓]	 	Etym: From hand 扌手 and hand 爪. Meaning to scratch.Phon: 爪 zhao3 zhua3 
投[投]	 	說文: 擿也從手從殳Etym: From hand 扌手 and action component 殳. Meaning to throw.
抖[抖]	 	Etym: From hand 扌手 and phonetic 斗. Meaning to tremble.Phon: 斗 dou3 
抗[抗]	 	說文: 扞也從手亢聲Etym: From hand 扌手 and phonetic 亢. Meaning to resist.Phon: 亢 kang4 gang1 geng1 
折[折]	 	說文: 篆文折從手Phon: 折 zhe2 shi2  (productive phonetic)
抚[撫]	 	說文: 安也從手無聲一曰循也Etym: From hand 扌手 and phonetic 无. Meaning to pat.Phon: 無 wu2 hu1 Simplify: (扌) left of (s无無)
抛[拋]	 	說文: 棄也從手從尤從力或從手**聲案左氏傳通用摽詩摽有梅摽落也義亦同Etym: From hand 扌手 and phonetic 九力. Meaning to throw away.Phon: *(拋-扌)
抠[摳]	 	Etym: From hand 扌手 and phonetic 区. Meaning to lift up.Simplify: (扌) left of (s区區)
抡[掄]	 	說文: 擇也從手侖聲Etym: From hand 扌手 and phonetic 仑侖. Meaning to swing.Phon: 侖 lun2 Simplify: (扌) left of (s仑侖)
抢[搶]	 	Etym: From hand 扌手 and phonetic (also meaning store house) 仓倉 maning to plunderPhon: 倉 cang1 Simplify: (扌) left of (s仓倉)
护[護]	 	說文: 救視也從言蒦聲Etym: From remnant hand speech 扌言 and phonetic 户蒦. Meaning to protect.Phon: 蒦 huo4 Simplify: ( character substitution 户51蒦)
报[報]	 	說文: 當罪人也從**從****服罪也Etym: From false remnant from criminal扌(super cursive 幸*) and person 卩 (kneeling) and hand又. Original meaning court document.Simplify: (super cursive simplification 扌幸) left of (卩 above 又))
抨[抨]	 	說文: 撣也從手平聲Phon: 平 ping2 
披[披]	 	說文: 從旁持曰披從手皮聲Etym: From hand 扌手 and phonetic (also meaning leather) 皮. Meaning to crack.Phon: 皮 pi2 bo1 
抱[抱]	 	說文: 捊或從包臣鉉等曰今作薄報切以為褱袌字非是Etym: From hand 扌手 and phonetic (meaning to hold in the arms) 包. Meaning to hold in arms.Phon: 包 bao1 勹 bao1 
抵[抵]	 	說文: 擠也從手氐聲Etym: From hand 扌手 and phonetic 氐. Meaning to resist.Phon: 氐 di1 di3 zhi1 氏 shi4 zhi1 
抹[抹]	 	Etym: From hand 扌手 and phonetic 末. Meaning to smear.Phon: 末 mo4 
押[押]	 	Etym: From hand 扌手 and phonetic 甲. Meaning signature.Phon: 甲 jia3 
抽[抽]	 	說文: **或從由Etym: From hand 扌手 and phonetic 由. Meaning to pull out.Phon: 由 you2 zhou4 di2 
拂[拂]	 	說文: 過擊也從手弗聲徐锴曰擊而過之也Etym: From hand 扌手 and phonetic 弗. Meaning to brush away.Phon: 弗 fu2 fei4 
拄[拄]	 	Etym: From hand 扌手 and phonetic 主. Meaning support or column.Phon: 主 zhu3 zhu4 
担[擔]	 	Etym: From hand 扌手 and phonetic 旦. Meaning to cary.Phon: 詹 zhan1 chan2 dan4 Simplify: (扌) left of (phonetic-phonetic substitution 旦詹)
拆[拆]	 	Etym: From hand 扌手 and phonetic 斥. Meaning to break up.Phon: 斥 chi4 che4 zhe4 
拇[拇]	 	說文: 將指也從手母聲Etym: From hand 扌手 and phonetic (also meaning mother as in nipple) 母. Meaning thumb.Phon: 母 mu3 
拈[拈]	 	說文: **也從手占聲Phon: 占 zhan1 zhan4 tie1 
拉[拉]	 	說文: 摧也從手立聲Etym: From hand 扌手 and phonetic 立. Meaning to pull.Phon: 立 li4 
拌[拌]	 	Etym: From hand 扌手 and phonetic 半. Meaning to mix.Phon: 半 ban4 
拍[拍]	 	說文: 拊也從手白聲Etym: From hand 扌手 and phonetic 白. Meaning to clap.Phon: 拍 pai1 白 bai2  (productive phonetic)
拐[拐]	 	Etym: From hand 扌手 and phonetic 另. Meaning to kidnap.Phon: 叧另 gua3 wo1 guo1 wai1 ling4 
拒[拒]	 	Etym: From hand 扌手 and phonetic 巨. Meaning to ward off.Phon: 巨 ju4 
拓[拓]	 	說文: 拾也陳宋語從手石聲Etym: From hand 扌手 and rock 石. Original meaning to take a rubbing from a stone inscription.
拔[拔]	 	說文: 擢也從手犮聲Etym: From hand 扌手 and phonetic 犮. Meaning to pull out.Phon: 犮 bo2 
拖[拖]	 	Etym: From hand 扌手 and phonetic 㐌它. Meaning to drag.Phon: 它㐌 ta1 tuo2 yi2 
拗[拗]	 	說文: 手拉也從手幼聲Etym: From hand 扌手 and phonetic (also meaning immature) 幼. Meaning stubernPhon: 幼 you4 yao4 幺 yao1 
拘[拘]	 	說文: 止也從句從手句亦聲Etym: From hand 扌手 and phonetic 句. Meaning to restrain.Phon: 勾句 gou1 ju4 gou3 gou4 qu2 丩jiu1 
拙[拙]	 	說文: 不巧也從手出聲Etym: From hand 扌手 and phonetic 出. Meaning clumsey.Phon: 出 chu1 
拚[拚]	 	說文: 拊手也從手弁聲Phon: 拚 pan4 弁卞 bian4 pan2 
招[招]	 	說文: 手呼也從手召聲Etym: From hand 扌手 and phonetic 召. Meaning to summon.Phon: 召 zhao4 shao4 刀 dao1 
拜[拜]	 	Etym: Primitive pictograph 拜. From hand 扌手 placing some crops 丰 on an altar. Meaning to worship.Phon: 拜 bai4  (productive phonetic)
拟[擬]	 	說文: 度也從手疑聲Etym: From hand 扌手 and phonetic 以疑. Meaning plan.Phon: 疑 yi2 ning2 Simplify: (扌) left of (phonetic-phonetic substitution 以疑)
拢[攏]	 	Etym: From hand 扌手 and phonetic 龙. Meaning to collect.Phon: 龍 long2 Simplify: (扌) left of (s龙龍)
拣[揀]	 	Etym: From hand 扌手 and phonetic 东. Meaning to choose.Phon: 柬 jian3 Simplify: (扌) left of (super cursive simplification 东柬)
拥[擁]	 	Etym: From hand 扌手 and phonetic 用雍. Meaning to hug.Phon: 雍雝 yong1 weng4 邕 yong1 yong3 Simplify: (扌) left of (phonetic-phonetic substitution 用雍)
拦[攔]	 	Etym: From hand 扌手 and phonetic 兰. Meaning to obstruct.Phon: 闌 lan2 柬 jian3 Simplify: (扌) left of (super cursive simplification 兰蘭)
拧[擰]	 	Etym: From hand 扌手 and phonetic 宁. Meaning to pinch.Phon: 寧 ning2 Simplify: (扌) left of (s宁寧)
拨[撥]	 	說文: 治也從手發聲Etym: From hand 扌手 and phonetic 发. Meaning to move.Phon: 發 fa1 bo1 fei4 癶 bo1 Simplify: (扌) left of (s发發)
择[擇]	 	說文: 柬也從手睪聲Etym: From hand 扌手 and phonetic 睪. Meaning to select.Phon: 睾睪 yi4 ze2 du4 gao1 hao4 Simplify: (扌) left of (s𠬤睪)
括[括]	 	說文: 絜也從手**聲Etym: From hand 扌手 and phonetic 舌(氏+口) not from 舌* Meaning embrace.Phon: 舌(氏+口) (she2) gua1 
拭[拭]	 	Etym: From hand 扌手 and phonetic 式. Meaning to wipe away.Phon: 式 shi4 
拮[拮]	 	說文: 手口共有所作也從手吉聲詩曰予手拮据Phon: 吉 ji2 
拯[拯]	 	說文: 上舉也從手升聲易曰抍馬壯吉Etym: From hand 扌手 and phonetic (also a original meaning to lift) 丞. Meaning to save, to lift.Phon: 丞 cheng2 zheng1 zheng3 
拱[拱]	 	說文: 斂手也從手共聲Etym: From hand 扌手 and phonetic 共. Meaning to fold hands on brest.Phon: 共 gong4 gong3 hong3 廾 gong3 
拳[拳]	 	說文: 手也從手聲Etym: Compound pictograph 拳. From hand 手 And remnant phonetic 𢍊𢍏. Meaning fist.Phon:  juan4 
拴[拴]	 	Etym: From hand 扌手 and phonetic 全. Meaning to bind with rope.Phon: 全 quan2 
拷[拷]	 	Etym: From hand 扌手 and phonetic 考. Meaning to torture.Phon: 考 kao3 丂 kao3 yu2 
拼[拼]	 	Etym: From hand 扌手 and phonetic （also two men joined together) 并，meaning join together.Phon: 幷并並竝併 bing1 bing4 
拾[拾]	 	說文: 掇也從手合聲Etym: From hand 扌手 and phonetic 合. Original meaning to pick up.
拿[拿]	 	Etym: From hand 手 and together 合. Meaning hold.
持[持]	 	說文: 握也從手寺聲Etym: From hand 扌手 and phonetic 寺. Meaning to support.Phon: 寺 si4 之止 zhi1 zhi4 
指[指]	 	說文: 手指也從手旨聲Etym: From hand 扌手 and phonetic 旨. Meaning finger.Phon: 旨 zhi3 
挈[挈]	 	說文: 縣持也從手**聲Phon: 㓞 qi4 qia4 丯 jie4 
按[按]	 	說文: 下也從手安聲Etym: From hand 扌手 and phonetic 安. Meaning to press.Phon: 安 an1 
挎[挎]	 	Etym: From hand 扌手 and phonetic 夸. Meaning to carry.
挑[挑]	 	說文: 撓也從手兆聲一曰摷也國語曰卻至挑夭Etym: From hand 扌手 and phonetic 兆. Meaning a load carried on the sholders.Phon: 兆 zhao4 tao2 tiao1 
挖[挖]	 	Etym: From hand 扌手 and phonetic (also meaning to excivate) 穵. Meaning to dig.Phon: 穵 wa1 乙 yi3 ya3 
挚[摯]	 	說文: 握持也從手從執Etym: From hand 手 and phonetic 执執 . Meaning sincere.Phon: 執 zhi2 Simplify: (s执埶) above (手)
挛[攣]	 	說文: 係也從手聲Phon:  luan2 Simplify: (s亦龻) above (手)
挞[撻]	 	說文: 鄉飲酒罰不敬撻其背從手達聲Phon: 達 ta4 da2 羍 da2 Simplify: (扌) left of (s达達)
挟[挾]	 	說文: 俾持也從手夾聲Etym: From hand 扌手 and phonetic (to clasp under the arm) 夹夾. Meaning to clasp under the arm.Phon: 夾 jia2 jia4 xie2 xia2 Simplify: (扌) left of (s夹夾)
挠[撓]	 	說文: 擾也從手堯聲一曰捄也Etym: From hand 扌手 and phonetic 尧堯. Meaning to disturb.Phon: 堯 yao2 垚 yao2 Simplify: (扌) left of (s尧堯)
